x2018,x2019,x2020,x2021,country,國家或地區
34326.584,34326.584,33343.36,35561.736,Others,其他國家及地區
25293.58,27306.98,27804.95,30956.73,China,中國
20580.25,21427.68,20289.99,21665.9,United States,美國
10413.61,11043.18,11321.28,12399,India,印度
5577.57,5711.93,5451.45,5725.13,Japan,日本
4342.91,4443.57,4160.93,4460.55,Germany,德國
4257.84,4389.96,4176.35,4406.63,Russia,俄羅斯
3495.97,3735.64,3778.13,4167.8,Indonesia,印尼
3382.59,3480.55,3316.92,3479.34,Brazil,巴西
3065.04,3162.41,2975.56,3155.97,United Kingdom,英國
2970.43,3061.82,2860.02,3046.13,France,法國
2575.21,2616.29,2458.34,2582.07,Mexico,墨西哥
2405.5,2454.81,2244.77,2399.06,Italy,意大利
2299.75,2361.78,2257.99,2417.19,Turkey,土耳其
2235.29,2320.5,2307.72,2432.78,Korea,南韓
1862.15,1900.89,1869.29,1961.52,Saudi Arabia,沙特阿拉伯
1854.03,1923.65,1781,1893.36,Spain,西班牙
1841.63,1904.39,1797.17,1910,Canada,加拿大
1586.22,1491.45,1411.09,1483.45,Islamic Republic of Iran,伊朗
1322.56,1377.54,1293.92,1399.18,Thailand,泰國
1314.46,1362.07,1279.36,1384.02,Australia,澳洲