date,gold,platinum,silver
2019-10-01,1473,885,17
2019-10-02,1493,882,18
2019-10-03,1517,891,18
2019-10-04,1499,882,17
2019-10-07,1501,880,18
2019-10-08,1506,891,18
2019-10-09,1507,893,18
2019-10-10,1495,901,18
2019-10-11,1479,899,18
2019-10-14,1491,893,18
2019-10-15,1488,892,17
2019-10-16,1485,887,17
2019-10-17,1493,889,18
2019-10-18,1490,887,18
2019-10-21,1492,891,18
2019-10-22,1485,893,17
2019-10-23,1494,892,18
2019-10-24,1497,924,18
2019-10-25,1513,928,18
2019-10-28,1492,920,18
2019-10-29,1487,922,18
2019-10-30,1492,924,18
2019-10-31,1511,934,18
2019-11-01,1509,951,18
2019-11-04,1509,936,18
2019-11-05,1489,930,18
2019-11-06,1486,930,18
2019-11-07,1484,910,17
2019-11-08,1464,891,17
2019-11-11,1459,877,17
2019-11-12,1452,871,17
2019-11-13,1463,874,17
2019-11-14,1467,882,17
2019-11-15,1467,891,17
2019-11-18,1468,894,17
2019-11-19,1468,912,17
2019-11-20,1472,918,17
2019-11-21,1467,915,17
2019-11-22,1464,893,17
2019-11-25,1458,897,17
2019-11-26,1455,910,17
2019-11-27,1454,896,17
2019-11-29,1460,896,17
2019-12-02,1461,900,17
2019-12-03,1477,912,17
2019-12-04,1475,912,17
2019-12-05,1476,897,17
2019-12-06,1460,897,17
2019-12-09,1462,895,17
2019-12-10,1465,924,17
2019-12-11,1467,945,17
2019-12-12,1468,943,17
2019-12-13,1467,927,17
2019-12-16,1478,929,17
2019-12-17,1476,929,17
2019-12-18,1474,936,17
2019-12-19,1477,938,17
2019-12-20,1479,914,17
2019-12-23,1482,938,17
2019-12-27,1512,948,18
2019-12-30,1515,958,18
2020-01-02,1527,966,18
2020-01-03,1549,982,18
2020-01-06,1573,960,18
2020-01-07,1568,969,18
2020-01-08,1572,954,18
2020-01-09,1551,968,18
2020-01-10,1554,981,18
2020-01-13,1550,977,18
2020-01-14,1545,983,18
2020-01-15,1549,1021,18
2020-01-16,1555,1000,18
2020-01-17,1558,1025,18
2020-01-21,1551,1005,18
2020-01-22,1557,1015,18
2020-01-23,1563,1007,18
2020-01-24,1564,1007,18
2020-01-27,1580,987,18
2020-01-28,1574,989,18
2020-01-29,1573,979,17
2020-01-30,1578,977,18
2020-01-31,1584,959,18
2020-02-03,1575,970,18
2020-02-04,1558,966,18
2020-02-05,1553,984,18
2020-02-06,1563,963,18
2020-02-07,1573,969,18
2020-02-10,1573,964,18
2020-02-11,1571,971,18
2020-02-12,1564,963,18
2020-02-13,1575,973,18
2020-02-14,1581,966,18
2020-02-18,1590,992,18
2020-02-19,1604,1006,18
2020-02-20,1619,979,18
2020-02-21,1643,975,19
2020-02-24,1672,966,19
2020-02-25,1650,934,18
2020-02-26,1635,915,18
2020-02-27,1652,915,18
2020-02-28,1610,862,17
2020-03-02,1600,863,17
2020-03-03,1616,871,17
2020-03-04,1642,878,17
2020-03-05,1660,868,17
2020-03-06,1684,901,17
2020-03-09,1673,868,17
2020-03-10,1656,874,17
2020-03-11,1654,867,17
2020-03-12,1571,769,16
2020-03-13,1563,762,15
2020-03-16,1488,658,13
2020-03-17,1536,663,13
2020-03-18,1498,624,12
2020-03-19,1474,591,12
2020-03-20,1494,612,13
2020-03-23,1525,641,13
2020-03-24,1606,709,14
2020-03-25,1605,742,14
2020-03-26,1635,739,14
2020-03-27,1617,746,14
2020-03-30,1618,723,14
2020-03-31,1609,730,14
2020-04-01,1577,721,14
2020-04-02,1617,732,14
2020-04-03,1613,724,14
2020-04-06,1648,740,15
2020-04-07,1649,737,15
2020-04-08,1648,736,15
2020-04-09,1681,745,15
2020-04-11,1688,751,15
2020-04-12,1742,780,16
2020-04-13,1719,780,15
2020-04-14,1730,781,15
2020-04-15,1693,774,15