region,restrict,date,id,國家或地區
Afghanistan,246,2020-04-09,004,阿富汗
Albania,246,2020-04-09,008,阿爾巴尼亞
American Samoa,246,2020-04-09,016,美屬薩摩亞（美國）
Angola,246,2020-04-09,024,安哥拉
Anguilla,246,2020-04-09,660,安圭拉 （英國）
Antigua and Barbuda,38,2020-04-09,028,安提瓜和巴布達
Argentina,246,2020-04-09,032,阿根廷
Armenia,15,2020-04-09,051,亞美尼亞
Aruba,246,2020-04-09,533,阿魯巴（荷蘭）
Australia,246,2020-04-09,036,澳洲
Austria,221,2020-04-09,040,奧地利
Azerbaijan,246,2020-04-09,031,阿塞拜疆
Bahamas,246,2020-04-09,044,巴哈馬
Bahrain,245,2020-04-09,048,巴林
Bangladesh,246,2020-04-09,050,孟加拉國 孟加拉國
Barbados,246,2020-04-09,052,巴巴多斯
Belarus,205,2020-04-09,112,白俄羅斯
Belgium,220,2020-04-09,056,比利時
Belize,30,2020-04-09,084,伯里茲
Bermuda,246,2020-04-09,060,百慕達（英國）
Benin,246,2020-04-09,204,貝寧
Bolivia (Plurinational State of),246,2020-04-09,068,玻利維亞
Bosnia and Herzegovina,246,2020-04-09,070,波黑
Botswana,245,2020-04-09,072,博茨瓦納
Brazil,246,2020-04-09,076,巴西
Virgin Islands (British),56,2020-04-09,092,英屬維爾京群島（英國）
Brunei Darussalam,246,2020-04-09,096,汶萊
Bulgaria,227,2020-04-09,100,保加利亞
Burkina Faso,246,2020-04-09,854,布基納法索
Cambodia,246,2020-04-09,116,柬埔寨
Cameroon,246,2020-04-09,120,喀麥隆
Canada,246,2020-04-09,124,加拿大
Cayman Islands,246,2020-04-09,136,開曼群島（英國）
Chile,246,2020-04-09,152,智利
China,246,2020-04-09,156,中國
Colombia,246,2020-04-09,170,哥倫比亞
Comoros,246,2020-04-09,174,科摩羅
Congo,246,2020-04-09,178,剛果共和國
Cook Islands,245,2020-04-09,184,庫克群島（新西蘭）
Costa Rica,246,2020-04-09,188,哥斯達黎加
Côte d'Ivoire,246,2020-04-09,384,科特迪瓦
Croatia,215,2020-04-09,191,克羅地亞
Cuba,246,2020-04-09,192,古巴
Curaçao,246,2020-04-09,531,古拉索（荷蘭）
Cyprus,246,2020-04-09,196,塞浦路斯
Czechia,246,2020-04-09,203,捷克
Korea (the Democratic People's Republic of),240,2020-04-09,408,北韓
Denmark,246,2020-04-09,208,丹麥
Djibouti,246,2020-04-09,262,吉布提
Dominica,246,2020-04-09,212,多米尼克
Dominican Republic,246,2020-04-09,214,多明尼加
Ecuador,246,2020-04-09,218,厄瓜多爾
Egypt,246,2020-04-09,818,埃及
El Salvador,246,2020-04-09,222,薩爾瓦多
Equatorial Guinea,246,2020-04-09,226,赤道畿內亞
Eritrea,246,2020-04-09,232,厄立特里亞
Estonia,246,2020-04-09,233,愛沙尼亞
Ethiopia,246,2020-04-09,231,埃塞俄比亞
Falkland Islands [Malvinas],246,2020-04-09,238,福克蘭群島（英國、阿根廷爭議）
Fiji,246,2020-04-09,242,斐濟
Finland,215,2020-04-09,246,芬蘭
France,215,2020-04-09,250,法國
French Polynesia,246,2020-04-09,258,法屬波利尼西亞（法國）
Gabon,34,2020-04-09,266,加蓬
Germany,215,2020-04-09,276,德國
Georgia,246,2020-04-09,268,格魯吉亞
Ghana,246,2020-04-09,288,加納
Greece,245,2020-04-09,300,希臘
Grenada,246,2020-04-09,308,格林納達
Guadeloupe,246,2020-04-09,312,瓜德羅普
Guam,246,2020-04-09,316,關島（美國）
Guatemala,246,2020-04-09,320,危地馬拉
Guinea,246,2020-04-09,324,畿內亞
Guyana,246,2020-04-09,328,圭亞那
Haiti,6,2020-04-09,332,海地
Honduras,246,2020-04-09,340,洪都拉斯
Hong Kong,246,2020-04-09,344,香港（中國）
Hungary,246,2020-04-09,348,匈牙利
Iceland,215,2020-04-09,352,冰島
India,246,2020-04-09,356,印度
Indonesia,246,2020-04-09,360,印尼
Iran (Islamic Republic of),3,2020-04-09,364,伊朗
Iraq,246,2020-04-09,368,伊拉克
Ireland,246,2020-04-09,372,愛爾蘭
Israel,246,2020-04-09,376,以色列
Italy,246,2020-04-09,380,意大利
Jamaica,247,2020-04-09,388,牙買加
Japan,246,2020-04-09,392,日本
Jordan,246,2020-04-09,400,約旦
Kazakhstan,246,2020-04-09,398,哈薩克
Kenya,246,2020-04-09,404,肯雅
Kiribati,246,2020-04-09,296,基里巴斯
Kuwait,246,2020-04-09,414,科威特
Kyrgyzstan,246,2020-04-09,417,吉爾吉斯
Latvia,241,2020-04-09,428,拉脫維亞
Lebanon,241,2020-04-09,422,黎巴嫩
Luxembourg,216,2020-04-09,442,盧森堡
Lithuania,241,2020-04-09,440,立陶宛
Macao,4,2020-04-09,446,澳門（中國）
Malawi,15,2020-04-09,454,馬拉維
Madagascar,246,2020-04-09,450,馬達加斯加
Malaysia,241,2020-04-09,458,馬來西亞
Maldives,219,2020-04-09,462,馬爾代夫
Malta,246,2020-04-09,470,馬爾他
Marshall Islands,241,2020-04-09,584,馬紹爾群島
Martinique,246,2020-04-09,474,馬提尼克
Mauritania,247,2020-04-09,478,毛里塔尼亞
Mauritius,241,2020-04-09,480,毛里裘斯
Micronesia (Federated States of),247,2020-04-09,583,密克羅尼西亞聯邦 密克羅尼西亞聯邦
Mongolia,247,2020-04-09,496,蒙古國
Montenegro,247,2020-04-09,499,黑山
Montserrat,246,2020-04-09,500,蒙特塞拉特（英國）
Morocco,246,2020-04-09,504,摩洛哥
Mozambique,246,2020-04-09,508,莫桑比克
Myanmar,246,2020-04-09,104,緬甸
Namibia,246,2020-04-09,516,納米比亞
Nepal,246,2020-04-09,524,尼泊爾
Nauru,246,2020-04-09,520,瑙魯
Netherlands,215,2020-04-09,528,荷蘭
New Caledonia,246,2020-04-09,540,新喀里多尼亞（法國）
New Zealand,247,2020-04-09,554,新西蘭
Nigeria,246,2020-04-09,566,尼日利亞
Niger,247,2020-04-09,562,尼日爾
Niue,44,2020-04-09,570,紐埃（新西蘭）
Republic of North Macedonia,246,2020-04-09,807,北馬其頓
Northern Mariana Islands,246,2020-04-09,580,北馬利安納群島（美國）
Norway,247,2020-04-09,578,挪威
Oman,246,2020-04-09,512,阿曼
Pakistan,247,2020-04-09,586,巴基斯坦
Palau,3,2020-04-09,585,帛琉
Panama,247,2020-04-09,591,巴拿馬
Papua New Guinea,5,2020-04-09,598,巴布亞新畿內亞
Paraguay,246,2020-04-09,600,巴拉圭
Peru,246,2020-04-09,604,秘魯
Philippines,6,2020-04-09,608,菲律賓
Poland,215,2020-04-09,616,波蘭
Portugal,203,2020-04-09,620,葡萄牙
Puerto Rico,247,2020-04-09,630,波多黎各（美國）
Qatar,246,2020-04-09,634,卡塔爾
Korea (the Republic of),245,2020-04-09,410,南韓
Moldova (the Republic of),246,2020-04-09,498,摩爾多瓦
Russian Federation,246,2020-04-09,643,俄羅斯
Romania,244,2020-04-09,642,羅馬尼亞
Rwanda,246,2020-04-09,646,盧旺達
Saint Barthélemy,246,2020-04-09,652,聖巴瑟米（法國）
"Saint Helena, Ascension and Tristan da Cunha",247,2020-04-09,654,聖海倫娜、阿森松和特里斯坦-達庫尼亞（英國）
Saint Kitts and Nevis,246,2020-04-09,659,聖基茨和尼維斯
Saint Lucia,246,2020-04-09,662,聖盧西亞
Saint Vincent and the Grenadines,246,2020-04-09,670,聖文森特和格林納丁斯
Saint Martin (French part),246,2020-04-09,663,聖馬丁島 (法國）
Samoa,247,2020-04-09,882,薩摩亞
Senegal,246,2020-04-09,686,塞內加爾
Saudi Arabia,246,2020-04-09,682,沙特阿拉伯
Serbia,246,2020-04-09,688,塞爾維亞
Seychelles,58,2020-04-09,690,塞舌爾
Sierra Leone,246,2020-04-09,694,塞拉利昂
Sint Maarten (Dutch part),246,2020-04-09,534,荷屬聖馬丁（荷蘭）
Singapore,245,2020-04-09,702,新加坡
Slovakia,247,2020-04-09,703,斯洛伐克
Slovenia,247,2020-04-09,705,斯洛文尼亞
Solomon Islands,247,2020-04-09,090,所羅門群島
Somalia,246,2020-04-09,706,索馬里
South Africa,246,2020-04-09,710,南非
South Sudan,246,2020-04-09,728,南蘇丹
Spain,246,2020-04-09,724,西班牙
Sri Lanka,246,2020-04-09,144,斯里蘭卡
Sudan,246,2020-04-09,729,蘇丹
Sweden,246,2020-04-09,752,瑞典
Switzerland,246,2020-04-09,756,瑞士
Taiwan (Province of China),247,2020-04-09,158,臺灣
Tajikistan,246,2020-04-09,762,塔吉克
Thailand,247,2020-04-09,764,泰國
Timor-Leste,1,2020-04-09,626,東帝汶
Togo,246,2020-04-09,768,多哥
Tonga,247,2020-04-09,776,湯加
Trinidad and Tobago,246,2020-04-09,780,千里達和多巴哥
Tunisia,246,2020-04-09,788,突尼西亞
Turkey,237,2020-04-09,792,土耳其
Turkmenistan,246,2020-04-09,795,土庫曼
Tuvalu,246,2020-04-09,798,圖瓦盧
Turks and Caicos Islands,246,2020-04-09,796,特克斯與凱科斯群島（英國）
Uganda,246,2020-04-09,800,烏干達
United Arab Emirates,246,2020-04-09,784,阿聯酋
Ukraine,245,2020-04-09,804,烏克蘭
"Tanzania, United Republic of",246,2020-04-09,834,坦桑尼亞
United States of America,30,2020-04-09,840,美國
Virgin Islands (U.S.),237,2020-04-09,850,美屬維爾京群島（美國）
Uruguay,237,2020-04-09,858,烏拉圭
Uzbekistan,246,2020-04-09,860,烏茲別克
Vanuatu,246,2020-04-09,548,瓦努阿圖
Viet Nam,246,2020-04-09,704,越南
Yemen,246,2020-04-09,887,也門
Zambia,196,2020-04-09,894,贊比亞
Zimbabwe,196,2020-04-09,716,津巴布韋
Afghanistan,246,2020-04-23,004,阿富汗
Albania,246,2020-04-23,008,阿爾巴尼亞
Algeria,246,2020-04-23,012,阿爾及利亞
American Samoa,246,2020-04-23,016,美屬薩摩亞（美國）
Angola,246,2020-04-23,024,安哥拉
Anguilla,246,2020-04-23,660,安圭拉 （英國）
Antigua and Barbuda,38,2020-04-23,028,安提瓜和巴布達
Argentina,246,2020-04-23,032,阿根廷
Armenia,246,2020-04-23,051,亞美尼亞
Aruba,246,2020-04-23,533,阿魯巴（荷蘭）
Australia,246,2020-04-23,036,澳洲
Austria,221,2020-04-23,040,奧地利
Azerbaijan,246,2020-04-23,031,阿塞拜疆
Bahamas,246,2020-04-23,044,巴哈馬
Bahrain,245,2020-04-23,048,巴林
Bangladesh,246,2020-04-23,050,孟加拉國 孟加拉國
Barbados,246,2020-04-23,052,巴巴多斯
Belarus,211,2020-04-23,112,白俄羅斯
Belgium,220,2020-04-23,056,比利時
Belize,246,2020-04-23,084,伯里茲
Benin,246,2020-04-23,204,貝寧
Bermuda,246,2020-04-23,060,百慕達（英國）
Bhutan,246,2020-04-23,064,不丹
Bolivia (Plurinational State of),246,2020-04-23,068,玻利維亞
Bosnia and Herzegovina,246,2020-04-23,070,波黑
Botswana,245,2020-04-23,072,博茨瓦納
Brazil,246,2020-04-23,076,巴西
Virgin Islands (British),56,2020-04-23,092,英屬維爾京群島（英國）
Brunei Darussalam,246,2020-04-23,096,汶萊
Bulgaria,227,2020-04-23,100,保加利亞
Burkina Faso,246,2020-04-23,854,布基納法索
Burundi,246,2020-04-23,108,布隆迪
Cabo Verde,246,2020-04-23,132,佛得角
Cambodia,246,2020-04-23,116,柬埔寨
Cameroon,246,2020-04-23,120,喀麥隆
Canada,246,2020-04-23,124,加拿大
Cayman Islands,246,2020-04-23,136,開曼群島（英國）
Chad,246,2020-04-23,148,乍得
Central African Republic,211,2020-04-23,140,中非
Chile,246,2020-04-23,152,智利
China,246,2020-04-23,156,中國
Colombia,246,2020-04-23,170,哥倫比亞
Comoros,246,2020-04-23,174,科摩羅
Congo,246,2020-04-23,178,剛果共和國
Cook Islands,245,2020-04-23,184,庫克群島（新西蘭）
Costa Rica,246,2020-04-23,188,哥斯達黎加
Côte d'Ivoire,246,2020-04-23,384,科特迪瓦
Croatia,215,2020-04-23,191,克羅地亞
Cuba,246,2020-04-23,192,古巴
Curaçao,246,2020-04-23,531,古拉索（荷蘭）
Cyprus,246,2020-04-23,196,塞浦路斯
Czechia,246,2020-04-23,203,捷克
Korea (the Democratic People's Republic of),240,2020-04-23,408,北韓
Congo (the Democratic Republic of the),246,2020-04-23,180,剛果民主共和國
Denmark,246,2020-04-23,208,丹麥
Djibouti,246,2020-04-23,262,吉布提
Dominica,246,2020-04-23,212,多米尼克
Dominican Republic,246,2020-04-23,214,多明尼加
Ecuador,246,2020-04-23,218,厄瓜多爾
Egypt,246,2020-04-23,818,埃及
El Salvador,246,2020-04-23,222,薩爾瓦多
Equatorial Guinea,246,2020-04-23,226,赤道畿內亞
Eritrea,246,2020-04-23,232,厄立特里亞
Estonia,246,2020-04-23,233,愛沙尼亞
Ethiopia,246,2020-04-23,231,埃塞俄比亞
Falkland Islands [Malvinas],246,2020-04-23,238,福克蘭群島（英國、阿根廷爭議）
Fiji,246,2020-04-23,242,斐濟
Finland,215,2020-04-23,246,芬蘭
France,215,2020-04-23,250,法國
French Guiana,246,2020-04-23,254,法屬圭亞那
French Polynesia,246,2020-04-23,258,法屬波利尼西亞（法國）
Gabon,34,2020-04-23,266,加蓬
Gambia,246,2020-04-23,270,岡比亞
Georgia,246,2020-04-23,268,格魯吉亞
Germany,215,2020-04-23,276,德國
Gibraltar,246,2020-04-23,292,直布羅陀（英國）
Ghana,246,2020-04-23,288,加納
Greece,245,2020-04-23,300,希臘
Grenada,246,2020-04-23,308,格林納達
Guam,246,2020-04-23,316,關島（美國）
Guadeloupe,246,2020-04-23,312,瓜德羅普
Guatemala,246,2020-04-23,320,危地馬拉
Guinea,246,2020-04-23,324,畿內亞
Guyana,246,2020-04-23,328,圭亞那
Haiti,246,2020-04-23,332,海地
Honduras,246,2020-04-23,340,洪都拉斯
Hong Kong,246,2020-04-23,344,香港（中國）
Hungary,246,2020-04-23,348,匈牙利
Iceland,215,2020-04-23,352,冰島
India,246,2020-04-23,356,印度
Indonesia,246,2020-04-23,360,印尼
Iran (Islamic Republic of),3,2020-04-23,364,伊朗
Iraq,246,2020-04-23,368,伊拉克
Ireland,246,2020-04-23,372,愛爾蘭
Israel,246,2020-04-23,376,以色列
Italy,246,2020-04-23,380,意大利
Japan,246,2020-04-23,392,日本
Jamaica,247,2020-04-23,388,牙買加
Jordan,246,2020-04-23,400,約旦
Kazakhstan,246,2020-04-23,398,哈薩克
Kenya,246,2020-04-23,404,肯雅
Kiribati,246,2020-04-23,296,基里巴斯
Kuwait,246,2020-04-23,414,科威特
Kyrgyzstan,246,2020-04-23,417,吉爾吉斯
Lao People's Democratic Republic,242,2020-04-23,418,老撾
Latvia,241,2020-04-23,428,拉脫維亞
Lebanon,241,2020-04-23,422,黎巴嫩
Liberia,246,2020-04-23,430,利比里亞
Libya,246,2020-04-23,434,利比亞
Lithuania,241,2020-04-23,440,立陶宛
Luxembourg,216,2020-04-23,442,盧森堡
Madagascar,246,2020-04-23,450,馬達加斯加
Macao,4,2020-04-23,446,澳門（中國）
Malawi,15,2020-04-23,454,馬拉維
Malaysia,241,2020-04-23,458,馬來西亞
Maldives,246,2020-04-23,462,馬爾代夫
Mali,246,2020-04-23,466,馬里
Malta,246,2020-04-23,470,馬爾他
Marshall Islands,241,2020-04-23,584,馬紹爾群島
Martinique,246,2020-04-23,474,馬提尼克
Mauritania,247,2020-04-23,478,毛里塔尼亞
Mauritius,241,2020-04-23,480,毛里裘斯
Micronesia (Federated States of),247,2020-04-23,583,密克羅尼西亞聯邦 密克羅尼西亞聯邦
Mongolia,247,2020-04-23,496,蒙古國
Montenegro,247,2020-04-23,499,黑山
Montserrat,246,2020-04-23,500,蒙特塞拉特（英國）
Morocco,246,2020-04-23,504,摩洛哥
Mozambique,246,2020-04-23,508,莫桑比克
Myanmar,246,2020-04-23,104,緬甸
Namibia,246,2020-04-23,516,納米比亞
Nauru,246,2020-04-23,520,瑙魯
Nepal,246,2020-04-23,524,尼泊爾
Netherlands,243,2020-04-23,528,荷蘭
New Caledonia,246,2020-04-23,540,新喀里多尼亞（法國）
New Zealand,247,2020-04-23,554,新西蘭
Niger,247,2020-04-23,562,尼日爾
Nigeria,246,2020-04-23,566,尼日利亞
Niue,44,2020-04-23,570,紐埃（新西蘭）
Republic of North Macedonia,246,2020-04-23,807,北馬其頓
Northern Mariana Islands,246,2020-04-23,580,北馬利安納群島（美國）
Oman,246,2020-04-23,512,阿曼
Norway,247,2020-04-23,578,挪威
Pakistan,247,2020-04-23,586,巴基斯坦
Palau,3,2020-04-23,585,帛琉
Panama,247,2020-04-23,591,巴拿馬
Papua New Guinea,5,2020-04-23,598,巴布亞新畿內亞
Paraguay,246,2020-04-23,600,巴拉圭
Peru,246,2020-04-23,604,秘魯
Philippines,6,2020-04-23,608,菲律賓
Poland,215,2020-04-23,616,波蘭
Portugal,203,2020-04-23,620,葡萄牙
Puerto Rico,247,2020-04-23,630,波多黎各（美國）
Qatar,246,2020-04-23,634,卡塔爾
Korea (the Republic of),245,2020-04-23,410,南韓
Moldova (the Republic of),246,2020-04-23,498,摩爾多瓦
Réunion,247,2020-04-23,638,留尼旺
Romania,244,2020-04-23,642,羅馬尼亞
Russian Federation,246,2020-04-23,643,俄羅斯
Saint Barthélemy,246,2020-04-23,652,聖巴瑟米（法國）
Rwanda,247,2020-04-23,646,盧旺達
"Saint Helena, Ascension and Tristan da Cunha",247,2020-04-23,654,聖海倫娜、阿森松和特里斯坦-達庫尼亞（英國）
Saint Kitts and Nevis,246,2020-04-23,659,聖基茨和尼維斯
Saint Lucia,246,2020-04-23,662,聖盧西亞
Saint Martin (French part),246,2020-04-23,663,聖馬丁島 (法國)
Saint Vincent and the Grenadines,246,2020-04-23,670,聖文森特和格林納丁斯
Samoa,247,2020-04-23,882,薩摩亞
Saudi Arabia,246,2020-04-23,682,沙特阿拉伯
Senegal,246,2020-04-23,686,塞內加爾
Serbia,246,2020-04-23,688,塞爾維亞
Seychelles,58,2020-04-23,690,塞舌爾
Sierra Leone,246,2020-04-23,694,塞拉利昂
Singapore,245,2020-04-23,702,新加坡
Sint Maarten (Dutch part),246,2020-04-23,534,荷屬聖馬丁（荷蘭）
Slovakia,247,2020-04-23,703,斯洛伐克
Slovenia,247,2020-04-23,705,斯洛文尼亞
