country,stimulus,gdp
United Kingdom,16095.1,42962
Germany,14313.8,47616
Italy,13392.5,34489
Canada,12846.2,46234
United States,12483.8,62887
Japan,10937.1,39290
Australia,7658.5,57396
France,6708.6,41470
Korea,3332.7,31380
Brazil,2341.2,9001
Saudi Arabia,1535.1,23339
China,932.4,9771
South Africa,766.7,6374
Turkey,503,9370
Mexico,460.4,9673
Russian Federation,334.1,11289
Argentina,282.6,11684
India,197.3,2010
Indonesia,104.2,3894
Czech Republic,3789.6,23069
Poland,2020.2,15422
Greece,1006.8,20317
Namibia,178.1,5931
Senegal,104.1,1522
Cabo Verde,96.3,3635
Nigeria,58.7,2028
Angola,54.5,3432
Zambia,41.3,1540
Ghana,28.9,2202
Sudan,21.8,977
Zimbabwe,19.7,2147
Kenya,15.1,1711
Ethiopia,15,772
Sierra Leone,6.7,534
Madagascar,6.2,528
Djibouti,5.7,3083
Rwanda,4.4,773
Uganda,1.9,643
Somalia,1,315
Guinea-Bissau,0.9,778